gender,age,body_type,level,goal,focus_area,muscle_split_type,workout_days,problem_area,plan_title
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,LOSE WEIGHT,ABT,UPPER_LOWER,5,NULL,MALE_LOSE WEIGHT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,LOSE WEIGHT,ABT,UPPER_LOWER,6,NULL,MALE_LOSE WEIGHT_NOVICE_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,SINGLE,3,NULL,MALE_STAY FIT_NOVICE_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,SINGLE,4,NULL,MALE_STAY FIT_NOVICE_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,SINGLE,6,NULL,MALE_STAY FIT_NOVICE_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,MULTI,3,NULL,MALE_STAY FIT_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,MULTI,4,NULL,MALE_STAY FIT_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,MULTI,6,NULL,MALE_STAY FIT_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,PUSH_PULL_LEGS,3,NULL,MALE_STAY FIT_NOVICE_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,PUSH_PULL_LEGS,4,NULL,MALE_STAY FIT_NOVICE_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,NULL,PUSH_PULL_LEGS,6,NULL,MALE_STAY FIT_NOVICE_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,SINGLE,3,NULL,MALE_STAY FIT_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,SINGLE,4,NULL,MALE_STAY FIT_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
